Product Name,GPU Chip,Released,Bus,Memory Size,Memory Type,Memory Bits,GPU clock,Memory clock,Shaders,TMUs,ROPs
GeForce RTX 5090,GB202,"Jan 30th, 2025",PCIe 5.0 x16,32,GDDR7,512,2017,2209,21760,680,192
GeForce RTX 5070,GB205,Feb 2025,PCIe 5.0 x16,12,GDDR7,192,2165,2209,6144,192,64
GeForce RTX 4090,AD102,"Sep 20th, 2022",PCIe 4.0 x16,24,GDDR6X,384,2235,1313,16384,512,176
GeForce RTX 5080,GB203,"Jan 30th, 2025",PCIe 5.0 x16,16,GDDR7,256,2295,2366,10752,336,128
Arc B580,BMG-G21,"Dec 12th, 2024",PCIe 4.0 x8,12,GDDR6,192,2670,2375,2560,160,80
GeForce RTX 5070 Ti,GB203,Feb 2025,PCIe 5.0 x16,16,GDDR7,256,2300,2209,8960,280,128
GeForce RTX 5060,GB206,2025,PCIe 5.0 x16,8,GDDR7,128,2235,1750,4608,144,48
GeForce RTX 4070,AD104,"Apr 12th, 2023",PCIe 4.0 x16,12,GDDR6X,192,1920,1313,5888,184,64
GeForce RTX 4060,AD107,"May 18th, 2023",PCIe 4.0 x8,8,GDDR6,128,1830,2125,3072,96,48
Radeon RX 580,Polaris 20,"Apr 18th, 2017",PCIe 3.0 x16,8,GDDR5,256,1257,2000,2304,144,32
Radeon RX 9070 XT,Navi 48,"Jan 24th, 2025",PCIe 4.0 x16,16,GDDR6,256,2400,2438,4096,256,96
GeForce RTX 4070 SUPER,AD104,"Jan 8th, 2024",PCIe 4.0 x16,12,GDDR6X,192,1980,1313,7168,224,80
GeForce RTX 4080,AD103,"Sep 20th, 2022",PCIe 4.0 x16,16,GDDR6X,256,2205,1400,9728,304,112
GeForce GTX 1080 Ti,GP102,"Mar 10th, 2017",PCIe 3.0 x16,11,GDDR5X,352,1481,1376,3584,224,88
GeForce RTX 4070 Ti SUPER,AD103,"Jan 8th, 2024",PCIe 4.0 x16,16,GDDR6X,256,2340,1313,8448,264,96
GeForce RTX 3060 12,GA106,"Jan 12th, 2021",PCIe 4.0 x16,12,GDDR6,192,1320,1875,3584,112,48
GeForce RTX 4080 SUPER,AD103,"Jan 8th, 2024",PCIe 4.0 x16,16,GDDR6X,256,2295,1438,10240,320,112
GeForce RTX 3070,GA104,"Sep 1st, 2020",PCIe 4.0 x16,8,GDDR6,256,1500,1750,5888,184,96
Radeon RX 7900 XTX,Navi 31,"Nov 3rd, 2022",PCIe 4.0 x16,24,GDDR6,384,1929,2500,6144,384,192
GeForce RTX 4070 Ti,AD104,"Jan 3rd, 2023",PCIe 4.0 x16,12,GDDR6X,192,2310,1313,7680,240,80
GeForce RTX 3080,GA102,"Sep 1st, 2020",PCIe 4.0 x16,10,GDDR6X,320,1440,1188,8704,272,96
Radeon RX 7800 XT,Navi 32,"Aug 25th, 2023",PCIe 4.0 x16,16,GDDR6,256,1295,2438,3840,240,96
GeForce RTX 2060,TU106,"Jan 7th, 2019",PCIe 3.0 x16,6,GDDR6,192,1365,1750,1920,120,48
GeForce RTX 3060 Ti,GA104,"Dec 1st, 2020",PCIe 4.0 x16,8,GDDR6,256,1410,1750,4864,152,80
GeForce RTX 4060 Ti 8,AD106,"May 18th, 2023",PCIe 4.0 x8,8,GDDR6,128,2310,2250,4352,136,48
GeForce GTX 1060 6,GP106,"Jul 19th, 2016",PCIe 3.0 x16,6,GDDR5,192,1506,2002,1280,80,48
GeForce RTX 3090,GA102,"Sep 1st, 2020",PCIe 4.0 x16,24,GDDR6X,384,1395,1219,10496,328,112
GeForce GTX 1050 Ti,GP107,"Oct 25th, 2016",PCIe 3.0 x16,4,GDDR5,128,1291,1752,768,48,32
Radeon RX 6600,Navi 23,"Oct 13th, 2021",PCIe 4.0 x8,8,GDDR6,128,1626,1750,1792,112,64
GeForce GTX 1650,TU117,"Apr 23rd, 2019",PCIe 3.0 x16,4,GDDR5,128,1485,2001,896,56,32
Radeon RX 5700 XT,Navi 10,"Jul 7th, 2019",PCIe 4.0 x16,8,GDDR6,256,1605,1750,2560,160,64
GeForce RTX 2080 Ti,TU102,"Sep 20th, 2018",PCIe 3.0 x16,11,GDDR6,352,1350,1750,4352,272,88
GeForce GTX 1660 SUPER,TU116,"Oct 29th, 2019",PCIe 3.0 x16,6,GDDR6,192,1530,1750,1408,88,48
GeForce RTX 3050 8,GA106,"Jan 4th, 2022",PCIe 4.0 x8,8,GDDR6,128,1552,1750,2560,80,32
Radeon RX 6700 XT,Navi 22,"Mar 3rd, 2021",PCIe 4.0 x16,12,GDDR6,192,2321,2000,2560,160,64
Radeon RX 7900 XT,Navi 31,"Nov 3rd, 2022",PCIe 4.0 x16,20,GDDR6,320,1387,2500,5376,336,192
Radeon RX 7700 XT,Navi 32,"Aug 25th, 2023",PCIe 4.0 x16,12,GDDR6,192,1435,2250,3456,216,96
GeForce GTX 1070,GP104,"Jun 10th, 2016",PCIe 3.0 x16,8,GDDR5,256,1506,2002,1920,120,64
GeForce GTX 1080,GP104,"May 27th, 2016",PCIe 3.0 x16,8,GDDR5X,256,1607,1251,2560,160,64
Radeon RX 570,Polaris 20,"Apr 18th, 2017",PCIe 3.0 x16,4,GDDR5,256,1168,1750,2048,128,32
Radeon RX 7600,Navi 33,"May 24th, 2023",PCIe 4.0 x8,8,GDDR6,128,1720,2250,2048,128,64
GeForce RTX 3070 Ti,GA104,"May 31st, 2021",PCIe 4.0 x16,8,GDDR6X,256,1575,1188,6144,192,96
GeForce RTX 3080 Ti,GA102,"May 31st, 2021",PCIe 4.0 x16,12,GDDR6X,384,1365,1188,10240,320,112
GeForce RTX 2060 SUPER,TU106,"Jul 9th, 2019",PCIe 3.0 x16,8,GDDR6,256,1470,1750,2176,136,64
Radeon RX 6750 XT,Navi 22,"Mar 3rd, 2022",PCIe 4.0 x16,12,GDDR6,192,2150,2250,2560,160,64
GeForce RTX 2070,TU106,"Oct 17th, 2018",PCIe 3.0 x16,8,GDDR6,256,1410,1750,2304,144,64
GeForce RTX 4050,AD107,Never Released,PCIe 4.0 x8,6,GDDR6,96,2505,2250,2560,80,32
GeForce GTX 1660 Ti,TU116,"Feb 22nd, 2019",PCIe 3.0 x16,6,GDDR6,192,1500,1500,1536,96,48
Radeon RX 6600 XT,Navi 23,"Jul 30th, 2021",PCIe 4.0 x8,8,GDDR6,128,1968,2000,2048,128,64
GeForce RTX 2070 SUPER,TU104,"Jul 9th, 2019",PCIe 3.0 x16,8,GDDR6,256,1605,1750,2560,160,64
